Firm_Name,Type,Location,Website,Office_Contact,Portfolio_Examples,Investment_Focus
Andreessen Horowitz,VC,"Menlo Park, CA",a16z.com,info@a16z.com,Instacart/Faire,"AI, Marketplace, Ecommerce"
Insight Partners,PE,"New York, NY",insightpartners.com,+1 (212) 230-9200,Shopify/Vinted,"Ecommerce, Software"
Sequoia Capital,VC,"Menlo Park, CA",sequoiacap.com,+1 (650) 854-3927,Klarna/StockX,"Fintech, Marketplace"
Accel,VC,"Palo Alto, CA",accel.com,+1 (650) 614-4800,Etsy/Deliverr,"Marketplace, Logistics"
Tiger Global,PE,"New York, NY",tigerglobal.com,info@tigerglobal.com,Stripe/GoTo,"Fintech, Marketplace"
SoftBank Vision Fund,VC,"Tokyo, Japan",softbank.com,+81 3-6889-2000,Coupang/Flipkart,"Ecommerce, AI"
DST Global,VC,"Hong Kong",dst.global,info@dst.global,Wish/Meesho,"Ecommerce, Marketplace"
Coatue Management,PE,"New York, NY",coatue.com,+1 (212) 201-5700,Instacart/Checkout.com,"AI, Fintech"
General Catalyst,VC,"Cambridge, MA",generalcatalyst.com,+1 (617) 234-7000,Snap/Deliveroo,"Marketplace, AI"
Index Ventures,VC,"San Francisco, CA",indexventures.com,info@indexventures.com,Deliveroo/Revolut,"Marketplace, Fintech"
Lightspeed Venture,VC,"Menlo Park, CA",lsvp.com,+1 (650) 234-8000,Faire/Affirm,"Marketplace, Fintech"
NEA,VC,"Menlo Park, CA",nea.com,+1 (650) 854-9499,Goop/Casper,"D2C, Ecommerce"
Bessemer Venture,VC,"San Francisco, CA",bvp.com,+1 (650) 233-6500,Shopify/Pinterest,"Ecommerce, Marketplace"
Founders Fund,VC,"San Francisco, CA",foundersfund.com,info@foundersfund.com,Affirm/Stripe,"Fintech, AI"
GGV Capital,VC,"Menlo Park, CA",ggvc.com,+1 (650) 475-2150,Wish/Alibaba,"Ecommerce, Marketplace"
Kleiner Perkins,VC,"Menlo Park, CA",kleinerperkins.com,+1 (650) 233-2750,Stripe/DoorDash,"Fintech, Marketplace"
Battery Ventures,PE,"Boston, MA",battery.com,+1 (617) 482-2100,Wayfair/Fastly,"Ecommerce, Infrastructure"
Greylock Partners,VC,"Menlo Park, CA",greylock.com,info@greylock.com,Convoy/Discord,"Logistics, Marketplace"
Thrive Capital,VC,"New York, NY",thrivecap.com,info@thrivecap.com,Stripe/GitHub,"Fintech, Software"
Silver Lake,PE,"Menlo Park, CA",silverlake.com,+1 (650) 233-8120,Alibaba/Unity,"Ecommerce, Software"
Warburg Pincus,PE,"New York, NY",warburgpincus.com,+1 (212) 878-0600,Ant Group/Go-Jek,"Fintech, Marketplace"
TPG Capital,PE,"San Francisco, CA",tpg.com,+1 (415) 743-1500,Uber/Airbnb,"Marketplace, Travel"
KKR,PE,"New York, NY",kkr.com,+1 (212) 750-8300,Epic Games/ByteDance,"Gaming, Social"
Advent International,PE,"Boston, MA",adventinternational.com,+1 (617) 951-9400,Thrasio/Dufry,"Ecommerce, Retail"
Vista Equity Partners,PE,"Austin, TX",vistaequitypartners.com,+1 (512) 730-2400,BigCommerce/Klaviyo,"Ecommerce, Software"
L Catterton,PE,"Greenwich, CT",lcatterton.com,+1 (203) 629-4901,Everlane/ThirdLove,"D2C, Retail"
General Atlantic,PE,"New York, NY",generalatlantic.com,+1 (212) 715-4000,Alibaba/Bytedance,"Ecommerce, Social"
Blackstone,PE,"New York, NY",blackstone.com,+1 (212) 583-5000,Bumble/Ancestry,"Marketplace, Software"
